이름,도로명주소,위도,경도
동대문우체국,"서울특별시 동대문구 천호대로 4 (신설동, 117-23)",,
서울답십리우편취급국,"서울특별시 동대문구 황물로 103, 101호 (답십리동)",,
서울시립대학교우편취급국,"서울특별시 동대문구 서울시립대로 163, 서울시립대학교 자연과학관 (전농동)",,
서울용두1동우편취급국,"서울특별시 동대문구 정릉천동로 58 상가 113호 (용두동,롯데캐슬피렌체아파트)",,
서울이문동우체국,서울특별시 동대문구 이문로 133 (이문동),,
서울장안2동우체국,서울특별시 동대문구 사가정로 240 (장안동),,
서울장안동우체국,서울특별시 동대문구 한천로14길 53 (장안동),,
서울전농동우체국,서울특별시 동대문구 전농로 131 (전농동),,
서울제기2동우편취급국,"서울특별시 동대문구 안암로 86-1  1층 1호 (제기동, 서울제기2동우편취급국)",,
서울제기동우체국,서울특별시 동대문구 고산자로 476 (제기동),,
서울청량리우체국,서울특별시 동대문구 홍릉로 10 (청량리동),,
서울휘경동우체국,서울특별시 동대문구 회기로 201 (휘경동),,
한국외국어대학교우편취급국,"서울특별시 동대문구 이문로 107 (이문동,한국외국어대학교)",,
서울망우1동우체국,서울특별시 중랑구 망우로 447 (망우동),,
서울면목2동우편취급국,서울특별시 중랑구 중랑천로 64 (면목동),,
서울면목동우체국,"서울특별시 중랑구 면목로 344 (면목동,면목우체국)",,
서울묵동우체국,"서울특별시 중랑구 동일로 895 (묵동,묵동우체국)",,
서울상봉1동우편취급국,서울특별시 중랑구 상봉중앙로1길 12 (상봉동),,
서울신내1동우편취급국,"서울특별시 중랑구 봉화산로 221 (신내동,동성타워프라자)",,
서울신내동우체국,서울특별시 중랑구 신내로17길 112 (신내동),,
서울중랑우체국,서울특별시 중랑구 망우로 271 (상봉동),,
서울중화동우체국,"서울특별시 중랑구 동일로 784 (중화동,중화동우체국)",,
서울강동우체국,서울특별시 강동구 양재대로112길 57 (길동),,
서울강일동우체국,서울특별시 강동구 아리수로91길 12 (강일동),,
서울고덕동우체국,서울특별시 강동구 고덕로80길 8 (상일동),,
서울고덕시영우편취급국,서울특별시 강동구 동남로81길 36 (고덕동),,
서울둔촌2동우편취급국,"서울특별시 강동구 양재대로102길 11 (둔촌동,광남캐스빌아파트)",,
서울명일동우체국,서울특별시 강동구 구천면로 424-9 (명일동),,
서울명일삼익우편취급국,"서울특별시 강동구 천중로51길 102 (명일동,금정빌딩)",,
서울명일현대우편취급국,"서울특별시 강동구 동남로71길 23 (명일동,한양아파트)",,
서울상일동우체국,서울특별시 강동구 상일로 9 (상일동),,
서울성내1동우편취급국,서울특별시 강동구 성내로 67 (성내동),,
서울성내동우체국,서울특별시 강동구 양재대로 1309 (성내동),,
서울암사3동우편취급국,"서울특별시 강동구 고덕로27길 19 (암사동, 용성빌딩)",,
서울천호3동우편취급국,서울특별시 강동구 성안로 191 (천호동),,
서울천호동우체국,서울특별시 강동구 구천면로 188 (천호동),,
군인공제회우편취급국,서울특별시 강남구 남부순환로 2806 (도곡동),,
서울AID우편취급국,서울특별시 강남구 삼성로 635 (삼성동),,
서울강남우체국,서울특별시 강남구 개포로 619 (개포동),,
서울개포1동우체국,서울특별시 강남구 선릉로 36 (개포동),,
서울개포현대우편취급국,서울특별시 강남구 개포로17길 6 (개포동),,
서울논현2동우편취급국,서울특별시 강남구 언주로148길 31-1 (논현동),,
서울논현거평우편취급국,서울특별시 강남구 봉은사로 129 (논현동),,
서울논현동우체국,서울특별시 강남구 학동로 212 (논현동),,
서울대치4동우편취급국,"서울특별시 강남구 도곡로 413(삼환쏘굿주상복합) 101호 (대치동, 삼환SOGOOD)",,
서울대치동아우편취급국,서울특별시 강남구 역삼로71길 12 (대치동),,
서울대치우성우편취급국,서울특별시 강남구 남부순환로 2917 (대치동),,
서울도곡서린우편취급국,"서울특별시 강남구 도곡로28길 8, 도곡1차아이파크 상가내",,
서울도곡한신우편취급국,서울특별시 강남구 논현로38길 38- 4    2층 (도곡동),,
서울무역센터우체국,서울특별시 강남구 영동대로 513 (삼성동),,
서울미성우편취급국,서울특별시 강남구 압구정로 134 (신사동),,
서울삼성2동우편취급국,서울특별시 강남구 삼성로107길 5(삼성동 120-1),,
서울삼성동우체국,서울특별시 강남구 선릉로 572 (삼성동),,
서울상록회관우체국,서울특별시 강남구 언주로 508 (역삼동),,
서울수서동우체국,서울특별시 강남구 광평로 303 (수서동),,
서울신사현대우편취급국,서울특별시 강남구 강남대로 620 (신사동),,
서울압구정우편취급국,서울특별시 강남구 압구정로 332 (신사동),,
서울역삼1동우체국,서울특별시 강남구 테헤란로 131 (역삼동),,
서울역삼2동우체국,서울특별시 강남구 역삼로 239 (역삼동),,
서울역삼성보우편취급국,서울특별시 강남구 선릉로 519 (역삼동),,
서울역삼우성우편취급국,서울특별시 강남구 테헤란로4길 46 (역삼동),,
서울역삼한라우편취급국,"서울특별시 강남구 봉은사로30길 42, 1층",,
서울영동시장우편취급국,"서울특별시 강남구 학동로4길 8, 2F (논현동)",,
서울은마아파트우체국,"서울특별시 강남구 삼성로 212 (대치동,은마아파트)",,
서울일원동우체국,서울특별시 강남구 양재대로55길 20 (일원동),,
서울일원본동우체국,서울특별시 강남구 광평로20길 8 (일원동),,
서울청담우편취급국,서울특별시 강남구 학동로101길 26 (청담동),,
서울청담청하우편취급국,서울특별시 강남구 도산대로 507 (청담동),,
서울해청아파트우편취급국,서울특별시 강남구 학동로56길 45 (삼성동),,
고려대학교우체국,서울특별시 성북구 안암로 145 (안암동5가),,
국민대학교우편취급국,"서울특별시 성북구 정릉로 77 (정릉동,국민대학교)",,
서경대학교우편취급국,"서울특별시 성북구 서경로 124 (정릉동,서경대학교)",,
서울돈암동우체국,"서울특별시 성북구 보문로 178, 2층 (삼선동4가)",,
서울동소문동우체국,서울특별시 성북구 성북로2길 31 (동소문동1가),,
서울삼익아파트우편취급국,"서울특별시 성북구 안암로9길 30 (안암동3가,삼익아파트)",,
서울석관1동우편취급국,서울특별시 성북구 한천로 584 (석관동),,
서울석관동우체국,서울특별시 성북구 화랑로 203 (장위동),,
서울성북2동우편취급국,서울특별시 성북구 성북로 59 (성북동),,
서울성북우체국,서울특별시 성북구 동소문로 310 (하월곡동),,
서울월곡1동우편취급국,서울특별시 성북구 화랑로5길 90 (하월곡동),,
서울장위1동우편취급국,서울특별시 성북구 장위로 60 (장위동),,
서울장위동우체국,서울특별시 성북구 돌곶이로28길 3 (장위동),,
서울정릉우체국,서울특별시 성북구 보국문로 12 (정릉동),,
서울종암동우체국,서울특별시 성북구 종암로 64 (종암동),,
한성대학교우편취급국,서울특별시 성북구 삼선교로16길 116 (삼선동2가),,
가톨릭의과대학우편취급국,"서울특별시 서초구 반포대로 222 (반포동,가톨릭대학교성의교정)",,
서울가정행정법원출장소,서울특별시 서초구 강남대로 193 (양재동),,
서울교대역우편취급국,서울특별시 서초구 반포대로28길 72 (서초동),,
서울대법원우편취급국,서울특별시 서초구 서초대로 219 (서초동),,
서울무지개우편취급국,서울특별시 서초구 효령로77길 34 b105 (서초동),,
서울반포1동우편취급국,서울특별시 서초구 주흥1길 22 (반포동),,
서울반포4동우편취급국,서울특별시 서초구 서래로10길 1 (반포동),,
서울반포우체국,서울특별시 서초구 신반포로 131 (반포동),,
서울반포주공우편취급국,"서울특별시 서초구 서초중앙로 224, 한양상가 120호 (반포동,서초한양아파트상가)",,
서울방배1동우편취급국,"서울특별시 서초구 방배로13길 18 (방배동,방배아크로타워)",,
